Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS_Automobile,MTRANS_Bike,MTRANS_Motorbike,MTRANS_Public_Transportation,MTRANS_Walking,NObeyesdad,Obesity_Level,Obese_Binary
1,23,1.65,58.5,1,0,2.0,3.0,1,0,2.0,0,0.0,0.0,0,0,0,0,1,0,Normal_Weight,1,0
1,21,1.85,83.0,1,1,2.0,1.0,2,0,3.0,0,1.0,0.0,0,0,0,0,1,0,Normal_Weight,1,0
1,19,1.82,87.0,1,1,2.0,3.0,1,0,2.0,0,0.0,0.0,0,0,0,0,1,0,Overweight_Level_I,2,0
0,22,1.65,65.0,1,1,2.0,3.0,2,0,2.0,1,1.0,0.0,0,1,0,0,0,0,Normal_Weight,1,0
0,29,1.7,78.0,1,1,3.0,3.0,1,0,1.0,0,2.0,1.0,2,1,0,0,0,0,Overweight_Level_II,3,0
0,25,1.63,93.0,0,0,3.0,4.0,3,0,1.0,0,2.0,0.0,0,0,0,0,1,0,Obesity_Type_II,5,1
0,20,1.61,64.0,1,0,3.0,3.0,3,0,2.0,1,0.0,1.0,2,0,0,0,1,0,Normal_Weight,1,0
1,55,1.78,84.0,1,0,3.0,4.0,2,0,3.0,1,3.0,0.0,2,0,0,0,0,1,Overweight_Level_I,2,0
0,20,1.6,57.0,0,0,3.0,3.0,3,0,2.0,0,1.0,0.0,0,0,0,0,0,1,Normal_Weight,1,0
0,24,1.6,48.0,0,1,3.0,3.0,1,0,2.0,0,2.0,0.0,0,0,0,0,1,0,Normal_Weight,1,0
1,26,1.7,70.0,1,0,3.0,1.0,2,0,2.0,0,2.0,0.0,2,0,0,0,1,0,Normal_Weight,1,0
0,23,1.66,60.0,1,0,2.0,3.0,1,0,2.0,0,3.0,0.0,1,0,0,0,1,0,Normal_Weight,1,0
0,21,1.52,42.0,0,0,3.0,1.0,2,0,1.0,0,0.0,0.0,1,0,0,0,1,0,Insufficient_Weight,0,0
1,23,1.72,70.0,0,0,2.0,3.0,1,0,2.0,0,3.0,1.0,2,0,0,0,1,0,Normal_Weight,1,0
0,21,1.69,63.0,0,1,3.0,1.0,1,0,1.0,0,0.0,0.0,1,0,0,0,1,0,Normal_Weight,1,0
1,22,1.7,66.4,1,0,2.0,3.0,2,0,2.0,0,0.0,0.0,0,0,0,0,1,0,Normal_Weight,1,0
0,21,1.55,57.0,0,1,2.0,4.0,2,0,2.0,1,2.0,0.0,1,1,0,0,0,0,Normal_Weight,1,0
0,22,1.65,58.0,1,1,3.0,4.0,2,0,2.0,0,1.0,0.0,1,0,0,0,1,0,Normal_Weight,1,0
0,38,1.56,80.0,1,1,2.0,3.0,1,0,2.0,0,0.0,0.0,1,1,0,0,0,0,Obesity_Type_I,4,1
0,25,1.57,55.0,0,1,2.0,1.0,1,0,2.0,0,2.0,0.0,1,0,0,0,1,0,Normal_Weight,1,0
1,22,1.88,90.0,1,1,2.0,3.0,3,0,1.0,0,0.0,1.0,1,1,0,0,0,0,Overweight_Level_I,2,0
1,22,1.75,95.0,1,0,2.0,3.0,1,0,3.0,0,3.0,2.0,0,0,0,0,0,1,Obesity_Type_I,4,1
0,21,1.65,88.0,1,1,3.0,1.0,1,0,3.0,0,2.0,1.0,0,0,0,0,1,0,Obesity_Type_I,4,1
1,21,1.75,75.0,1,1,3.0,3.0,1,0,2.0,0,0.0,1.0,1,0,0,0,1,0,Normal_Weight,1,0
0,22,1.58,58.0,1,1,2.0,1.0,1,0,1.0,0,0.0,0.0,0,0,0,0,1,0,Normal_Weight,1,0
0,18,1.56,51.0,1,1,2.0,4.0,2,0,2.0,0,1.0,0.0,1,0,0,0,1,0,Normal_Weight,1,0
0,22,1.5,49.0,1,0,2.0,1.0,1,0,2.0,0,3.0,0.0,0,0,0,0,0,1,Normal_Weight,1,0
0,19,1.61,62.0,1,1,3.0,1.0,2,0,2.0,0,1.0,0.0,2,0,0,0,1,0,Normal_Weight,1,0
0,17,1.75,57.0,1,1,3.0,3.0,2,0,2.0,0,0.0,1.0,0,0,0,0,1,0,Normal_Weight,1,0
0,15,1.65,86.0,1,1,3.0,3.0,1,0,1.0,0,3.0,2.0,0,0,0,0,0,1,Obesity_Type_I,4,1
0,17,1.7,85.0,1,0,2.0,3.0,2,0,2.0,0,1.0,1.0,0,0,0,0,1,0,Overweight_Level_II,3,0
1,23,1.62,53.0,1,1,2.0,3.0,1,0,2.0,0,1.0,1.0,1,0,0,0,1,0,Normal_Weight,1,0
0,19,1.63,76.0,1,0,3.0,3.0,2,1,3.0,0,2.0,1.0,1,1,0,0,0,0,Overweight_Level_II,3,0
0,23,1.67,75.0,1,1,2.0,3.0,2,1,2.0,0,0.0,2.0,0,0,0,0,0,1,Overweight_Level_I,2,0
1,23,1.87,95.0,1,1,1.0,3.0,2,0,2.0,0,0.0,2.0,2,0,0,0,1,0,Overweight_Level_II,3,0
1,21,1.75,50.0,1,0,3.0,4.0,2,0,1.0,0,1.0,0.0,0,0,0,0,0,1,Insufficient_Weight,0,0
1,24,1.66,67.0,1,1,3.0,1.0,1,0,2.0,0,1.0,0.0,0,0,0,0,1,0,Normal_Weight,1,0
1,23,1.76,90.0,0,1,3.0,3.0,1,0,1.0,0,0.0,0.0,0,0,0,0,1,0,Overweight_Level_II,3,0
1,18,1.75,80.0,1,1,2.0,3.0,3,0,2.0,0,0.0,0.0,2,0,0,0,1,0,Overweight_Level_I,2,0
1,19,1.67,68.0,0,1,2.0,3.0,1,0,2.0,0,1.0,0.0,1,0,0,0,1,0,Normal_Weight,1,0
0,19,1.65,61.0,0,1,3.0,1.0,1,0,3.0,1,1.0,0.0,1,0,0,0,1,0,Normal_Weight,1,0
1,20,1.72,70.0,1,1,3.0,3.0,2,0,1.0,0,0.0,0.0,1,0,0,0,1,0,Normal_Weight,1,0
1,27,1.7,78.0,0,1,3.0,3.0,1,0,3.0,0,1.0,1.0,2,0,0,0,1,0,Overweight_Level_II,3,0
0,20,1.58,53.0,1,1,2.0,4.0,2,0,2.0,0,1.0,1.0,0,0,0,0,1,0,Normal_Weight,1,0
1,23,1.62,58.0,0,0,2.0,3.0,1,0,1.0,0,1.0,0.0,0,0,0,0,1,0,Normal_Weight,1,0
0,19,1.65,56.0,1,1,3.0,3.0,2,1,3.0,1,1.0,2.0,2,0,0,0,1,0,Normal_Weight,1,0
0,61,1.65,66.0,0,1,3.0,3.0,3,0,2.0,0,1.0,1.0,2,0,0,0,1,0,Normal_Weight,1,0
1,30,1.77,109.0,1,1,3.0,3.0,1,0,1.0,0,2.0,0.0,1,1,0,0,0,0,Obesity_Type_I,4,1
1,24,1.7,75.0,1,1,2.0,3.0,1,0,2.0,0,1.0,0.0,1,1,0,0,0,0,Overweight_Level_I,2,0
1,25,1.79,72.0,1,1,2.0,3.0,1,0,2.0,0,1.0,1.0,1,0,0,0,1,0,Normal_Weight,1,0
1,44,1.6,80.0,1,0,2.0,3.0,1,1,3.0,0,0.0,0.0,0,0,0,1,0,0,Obesity_Type_I,4,1
1,31,1.76,75.0,1,0,3.0,3.0,3,0,3.0,1,3.0,0.0,0,0,1,0,0,0,Normal_Weight,1,0
1,25,1.7,68.0,0,1,2.0,3.0,2,0,2.0,0,0.0,1.0,0,0,0,0,1,0,Normal_Weight,1,0
1,23,1.89,65.0,1,1,3.0,3.0,2,0,3.0,0,1.0,1.0,1,0,0,0,1,0,Insufficient_Weight,0,0
1,25,1.87,66.0,0,1,3.0,3.0,3,0,2.0,0,2.0,0.0,2,0,0,0,1,0,Normal_Weight,1,0
1,23,1.74,93.5,0,1,2.0,3.0,2,1,1.0,0,1.0,1.0,2,1,0,0,0,0,Obesity_Type_I,4,1
0,34,1.68,75.0,0,1,3.0,1.0,1,0,1.0,0,0.0,0.0,1,1,0,0,0,0,Overweight_Level_I,2,0
1,22,1.61,67.0,1,0,2.0,4.0,1,0,3.0,1,2.0,2.0,1,0,0,0,1,0,Overweight_Level_I,2,0
1,21,1.62,70.0,0,1,2.0,1.0,0,0,3.0,0,1.0,0.0,1,0,0,0,1,0,Overweight_Level_I,2,0
0,24,1.56,51.0,0,0,3.0,3.0,2,0,2.0,0,2.0,2.0,2,0,0,0,1,0,Normal_Weight,1,0
0,36,1.63,80.0,1,0,3.0,3.0,1,0,1.0,0,0.0,0.0,1,1,0,0,0,0,Obesity_Type_I,4,1
0,27,1.6,61.0,0,1,3.0,3.0,3,0,2.0,0,0.0,0.0,1,1,0,0,0,0,Normal_Weight,1,0
0,32,1.67,90.0,1,1,3.0,1.0,1,0,2.0,0,2.0,0.0,1,1,0,0,0,0,Obesity_Type_I,4,1
1,25,1.78,78.0,1,1,2.0,1.0,1,0,2.0,0,2.0,1.0,1,0,0,0,1,0,Normal_Weight,1,0
0,30,1.62,59.0,1,1,3.0,3.0,1,0,2.0,0,2.0,0.0,1,1,0,0,0,0,Normal_Weight,1,0
0,38,1.5,60.0,1,1,2.0,1.0,3,1,2.0,0,0.0,0.0,1,1,0,0,0,0,Overweight_Level_I,2,0
1,34,1.69,84.0,1,0,2.0,3.0,1,0,3.0,0,2.0,0.0,0,1,0,0,0,0,Overweight_Level_II,3,0
1,22,1.74,94.0,1,1,2.0,3.0,1,0,2.0,0,0.0,0.0,1,0,0,0,1,0,Obesity_Type_I,4,1
0,31,1.68,63.0,1,1,3.0,1.0,2,0,2.0,0,1.0,1.0,1,1,0,0,0,0,Normal_Weight,1,0
0,35,1.53,45.0,1,0,3.0,3.0,2,0,1.0,0,0.0,1.0,0,1,0,0,0,0,Normal_Weight,1,0
1,21,1.67,60.0,1,1,2.0,3.0,2,0,2.0,0,2.0,1.0,1,0,0,0,1,0,Normal_Weight,1,0
0,40,1.55,62.0,1,0,3.0,3.0,1,0,3.0,0,0.0,0.0,1,1,0,0,0,0,Overweight_Level_I,2,0
1,27,1.64,78.0,1,1,2.0,1.0,1,0,2.0,0,0.0,0.0,2,1,0,0,0,0,Overweight_Level_II,3,0
1,20,1.83,72.0,1,0,3.0,3.0,1,1,1.0,0,2.0,1.0,1,0,0,0,1,0,Normal_Weight,1,0
1,55,1.65,80.0,0,1,2.0,3.0,1,0,2.0,0,1.0,0.0,0,1,0,0,0,0,Overweight_Level_II,3,0
0,21,1.63,60.0,1,1,3.0,3.0,3,1,2.0,0,2.0,0.0,1,0,0,0,1,0,Normal_Weight,1,0
1,25,1.89,75.0,0,0,3.0,3.0,2,0,2.0,1,3.0,0.0,0,0,0,0,1,0,Normal_Weight,1,0
1,35,1.77,85.0,1,0,3.0,3.0,2,0,3.0,0,2.0,1.0,1,1,0,0,0,0,Overweight_Level_II,3,0
1,30,1.92,130.0,1,0,2.0,3.0,1,1,1.0,0,1.0,0.0,1,0,0,0,1,0,Obesity_Type_II,5,1
0,29,1.74,72.0,1,0,3.0,3.0,3,0,2.0,0,0.0,0.0,1,1,0,0,0,0,Normal_Weight,1,0
1,20,1.65,80.0,1,0,2.0,3.0,1,0,2.0,0,1.0,2.0,0,0,0,0,0,1,Overweight_Level_II,3,0
0,22,1.73,79.0,1,1,2.0,1.0,1,0,2.0,0,1.0,0.0,1,0,0,0,1,0,Overweight_Level_I,2,0
0,45,1.63,77.0,1,1,2.0,3.0,2,0,1.0,0,0.0,0.0,0,1,0,0,0,0,Overweight_Level_II,3,0
1,22,1.72,82.0,0,1,2.0,1.0,1,0,2.0,0,2.0,1.0,1,0,0,0,1,0,Overweight_Level_II,3,0
1,18,1.6,58.0,1,1,2.0,3.0,2,0,2.0,0,1.0,0.0,1,0,0,0,1,0,Normal_Weight,1,0
0,23,1.65,59.0,0,0,3.0,1.0,1,0,2.0,0,1.0,2.0,1,0,0,0,1,0,Normal_Weight,1,0
1,18,1.74,64.0,0,0,3.0,3.0,1,0,2.0,1,0.0,1.0,0,0,0,0,1,0,Normal_Weight,1,0
0,38,1.64,59.8,1,1,2.0,3.0,1,0,2.0,0,2.0,0.0,0,0,0,0,1,0,Normal_Weight,1,0
0,18,1.57,48.0,1,1,3.0,1.0,3,0,1.0,0,1.0,0.0,0,0,0,0,1,0,Normal_Weight,1,0
1,22,1.84,84.0,1,1,3.0,3.0,2,0,2.0,1,3.0,0.0,1,0,0,0,1,0,Normal_Weight,1,0
1,26,1.91,84.0,1,1,3.0,3.0,2,1,2.0,0,2.0,2.0,2,0,0,0,1,0,Normal_Weight,1,0
0,18,1.58,48.0,0,1,2.0,3.0,1,0,2.0,0,1.0,0.0,0,0,0,0,1,0,Normal_Weight,1,0
0,23,1.68,67.0,1,1,2.0,3.0,2,0,1.0,0,0.0,0.0,1,0,0,0,1,0,Normal_Weight,1,0
0,22,1.68,52.0,0,1,3.0,3.0,2,0,2.0,0,0.0,1.0,0,0,0,0,1,0,Insufficient_Weight,0,0
0,23,1.48,60.0,1,1,2.0,1.0,1,1,1.0,0,0.0,0.0,1,0,0,0,1,0,Overweight_Level_II,3,0
0,31,1.62,68.0,0,0,3.0,3.0,1,0,2.0,0,1.0,0.0,1,1,0,0,0,0,Overweight_Level_I,2,0
1,39,1.78,96.0,1,0,2.0,3.0,1,0,3.0,0,1.0,0.0,2,1,0,0,0,0,Obesity_Type_I,4,1
1,25,1.78,98.0,1,0,2.0,3.0,1,0,3.0,0,3.0,2.0,0,0,0,0,1,0,Obesity_Type_I,4,1
1,35,1.78,105.0,1,1,3.0,1.0,0,0,3.0,0,3.0,1.0,2,1,0,0,0,0,Obesity_Type_I,4,1
0,33,1.63,62.0,1,1,2.0,3.0,1,0,2.0,0,1.0,1.0,0,0,0,0,1,0,Normal_Weight,1,0
1,20,1.6,56.0,0,1,2.0,3.0,1,0,2.0,0,1.0,0.0,1,0,0,0,1,0,Normal_Weight,1,0
1,26,1.75,80.0,1,1,3.0,1.0,2,1,2.0,1,2.0,0.0,1,0,0,0,1,0,Overweight_Level_I,2,0
1,20,1.83,85.0,1,0,3.0,3.0,1,0,3.0,1,3.0,0.0,1,1,0,0,0,0,Overweight_Level_I,2,0
1,20,1.78,68.0,0,0,2.0,1.0,2,0,3.0,1,2.0,1.0,0,0,0,0,1,0,Normal_Weight,1,0
0,23,1.6,83.0,1,1,3.0,3.0,2,0,3.0,0,3.0,0.0,0,0,0,0,1,0,Obesity_Type_I,4,1
1,19,1.8,85.0,1,1,3.0,3.0,1,0,2.0,0,1.0,1.0,1,0,0,0,0,1,Overweight_Level_I,2,0
1,22,1.75,74.0,1,0,2.0,3.0,1,0,2.0,0,1.0,2.0,1,0,1,0,0,0,Normal_Weight,1,0
1,41,1.75,118.0,1,1,2.0,3.0,1,0,2.0,0,0.0,0.0,1,0,1,0,0,0,Obesity_Type_II,5,1
0,18,1.59,40.0,1,1,2.0,1.0,2,0,1.0,0,0.0,2.0,0,0,0,0,1,0,Insufficient_Weight,0,0
0,23,1.66,60.0,1,1,2.0,1.0,1,0,1.0,0,1.0,1.0,1,0,0,0,1,0,Normal_Weight,1,0
0,23,1.63,83.0,1,0,3.0,1.0,1,1,3.0,0,1.0,2.0,1,0,0,0,1,0,Obesity_Type_I,4,1
0,41,1.54,80.0,1,1,2.0,3.0,3,0,1.0,0,0.0,0.0,1,1,0,0,0,0,Obesity_Type_I,4,1
0,26,1.56,102.0,1,1,3.0,3.0,1,1,1.0,0,0.0,1.0,1,0,0,0,1,0,Obesity_Type_III,6,1
1,29,1.69,90.0,1,0,2.0,3.0,1,0,3.0,0,1.0,0.0,1,1,0,0,0,0,Obesity_Type_I,4,1
1,27,1.83,71.0,1,1,2.0,3.0,1,0,2.0,0,3.0,2.0,0,1,0,0,0,0,Normal_Weight,1,0
0,23,1.6,78.0,1,1,2.0,1.0,1,1,2.0,0,1.0,0.0,2,0,0,0,1,0,Obesity_Type_I,4,1
1,19,1.75,100.0,1,1,2.0,3.0,2,0,2.0,0,2.0,0.0,0,0,0,0,1,0,Obesity_Type_I,4,1
1,30,1.75,73.0,1,0,2.0,3.0,0,0,2.0,1,1.0,0.0,1,0,0,0,0,1,Normal_Weight,1,0
0,22,1.69,65.0,1,1,2.0,3.0,1,0,2.0,0,1.0,1.0,1,0,0,0,1,0,Normal_Weight,1,0
